cue,n_mentions,n,wins,undecided_share,win_rate,shrunk_rate,ci_low,ci_high,base_rate
very clean,537,278,277,0.482,0.9964,0.9717,0.9799,0.9994,0.6968
very well-maintained,327,141,140,0.569,0.9929,0.9483,0.9609,0.9987,0.6968
very clean and well-maintained,226,120,120,0.469,1.0,0.9477,0.969,1.0,0.6968
clear signage,197,111,111,0.437,1.0,0.9443,0.9665,1.0,0.6968
clean and well-maintained,530,222,215,0.581,0.9685,0.941,0.9364,0.9846,0.6968
facade looks clean and well-maintained,226,102,102,0.549,1.0,0.9403,0.9637,1.0,0.6968
pristine,211,111,110,0.474,0.991,0.9369,0.9507,0.9984,0.6968
clean sidewalk,265,152,148,0.426,0.9737,0.9346,0.9343,0.9897,0.6968
clean windows,173,89,89,0.486,1.0,0.9335,0.9586,1.0,0.6968
sidewalk is very clean,188,100,99,0.468,0.99,0.9314,0.9455,0.9982,0.6968
clean facade,191,111,109,0.419,0.982,0.9296,0.9367,0.995,0.6968
facade is very clean,169,82,82,0.515,1.0,0.9292,0.9552,1.0,0.6968
windows are intact,1445,525,491,0.637,0.9352,0.9244,0.9109,0.9533,0.6968
brickwork looks clean and well-maintained,127,71,71,0.441,1.0,0.921,0.9487,1.0,0.6968
glass is clear,170,63,63,0.629,1.0,0.9139,0.9425,1.0,0.6968
brickwork looks clean and intact,189,83,81,0.561,0.9759,0.9113,0.9163,0.9934,0.6968
very tidy,105,57,57,0.457,1.0,0.9076,0.9369,1.0,0.6968
sidewalk is clean,1645,721,657,0.562,0.9112,0.904,0.8882,0.9299,0.6968
street is clean,353,154,144,0.564,0.9351,0.9018,0.8846,0.9643,0.6968
brickwork looks clean,385,123,116,0.681,0.9431,0.9015,0.8872,0.9722,0.6968
facade is clean,407,180,167,0.558,0.9278,0.8996,0.8804,0.9573,0.6968
glass is clean,246,77,74,0.687,0.961,0.8963,0.8916,0.9867,0.6968
well-maintained,1233,437,394,0.646,0.9016,0.8905,0.8701,0.9261,0.6968
facade looks clean and well-preserved,75,40,40,0.467,1.0,0.8834,0.9124,1.0,0.6968
clear sidewalk,63,40,40,0.365,1.0,0.8834,0.9124,1.0,0.6968
