case,relative_label,traces,mean_code,integrated
libraries,Less,2650,4.036,0.0777
libraries,More,2634,4.038,0.0869
libraries,MuchLess,292,3.753,0.0411
libraries,MuchMore,275,3.815,0.0436
libraries,NotSure,911,3.9,0.0055
libraries,Same,3963,3.939,0.0225
parks_plazas,Less,2979,3.932,0.0695
parks_plazas,More,3096,3.967,0.0766
parks_plazas,MuchLess,502,3.667,0.0438
parks_plazas,MuchMore,460,3.633,0.0478
parks_plazas,NotSure,1805,3.963,0.0366
parks_plazas,Same,1905,3.997,0.0346
restaurants,Less,3161,3.995,0.1224
restaurants,More,3196,3.988,0.1205
restaurants,MuchLess,928,3.83,0.1024
restaurants,MuchMore,918,3.833,0.0882
restaurants,NotSure,1057,3.899,0.036
restaurants,Same,1548,3.981,0.0665
road_quality,Less,4561,3.53,0.0638
road_quality,More,4753,3.527,0.052
road_quality,MuchLess,254,3.366,0.0591
road_quality,MuchMore,308,3.25,0.0487
road_quality,NotSure,59,3.983,0.0339
road_quality,Same,984,3.793,0.0793
schools,Less,2309,4.094,0.1421
schools,More,2217,4.075,0.1385
schools,MuchLess,119,3.857,0.0588
schools,MuchMore,138,3.848,0.058
schools,NotSure,1258,3.856,0.0525
schools,Same,4831,3.993,0.0826
street_photography,Less,4127,4.203,0.3598
street_photography,More,4161,4.177,0.349
street_photography,MuchLess,1192,3.64,0.1871
street_photography,MuchMore,1262,3.624,0.1688
street_photography,Same,141,4.454,0.4255
subway_safety,Less,2691,4.173,0.2289
subway_safety,More,2669,4.179,0.2413
subway_safety,MuchLess,145,3.71,0.0759
subway_safety,MuchMore,120,3.85,0.0833
subway_safety,NotSure,678,4.001,0.0354
subway_safety,Same,4165,4.08,0.1097
