case,proxy,gap_band,gap_range,group,pairs,agreement,lo,hi
subway_safety,crime_density,0,0.598-284,code < 5,1115,0.443,0.4141,0.4724
subway_safety,crime_density,0,5.5-284,code >= 5,326,0.4479,0.3948,0.5021
subway_safety,crime_density,1,284-627,code < 5,1106,0.4222,0.3935,0.4516
subway_safety,crime_density,1,288-627,code >= 5,336,0.4435,0.3913,0.4969
subway_safety,crime_density,2,628-1.21e+03,code < 5,1132,0.3869,0.359,0.4156
subway_safety,crime_density,2,628-1.21e+03,code >= 5,330,0.3818,0.331,0.4353
subway_safety,crime_density,3,1.21e+03-2.77e+03,code < 5,1077,0.2293,0.2052,0.2554
subway_safety,crime_density,3,1.21e+03-2.77e+03,code >= 5,341,0.2727,0.2282,0.3223
subway_safety,median_household_income,0,62.2-2.09e+04,code < 5,1081,0.5291,0.4993,0.5587
subway_safety,median_household_income,0,62.2-2.09e+04,code >= 5,323,0.4892,0.4351,0.5435
subway_safety,median_household_income,1,2.09e+04-4.99e+04,code < 5,1074,0.5912,0.5616,0.6203
subway_safety,median_household_income,1,2.09e+04-4.97e+04,code >= 5,329,0.5471,0.4931,0.6
subway_safety,median_household_income,2,4.99e+04-8.71e+04,code < 5,1048,0.7118,0.6837,0.7384
subway_safety,median_household_income,2,4.99e+04-8.68e+04,code >= 5,358,0.6425,0.5915,0.6904
subway_safety,median_household_income,3,8.72e+04-1.55e+05,code < 5,1113,0.814,0.7901,0.8358
subway_safety,median_household_income,3,8.72e+04-1.55e+05,code >= 5,288,0.7465,0.6933,0.7933
libraries,libraries,0,23.5-1.42e+04,code < 5,1347,0.5071,0.4804,0.5337
libraries,libraries,0,62.2-1.41e+04,code >= 5,110,0.5182,0.4258,0.6094
libraries,libraries,1,1.42e+04-3.46e+04,code < 5,1354,0.4897,0.4631,0.5163
libraries,libraries,1,1.42e+04-3.46e+04,code >= 5,104,0.4712,0.378,0.5664
