case,proxy,traces,usable_pairs,kept,agreement,share_code_ge,pooled_difference,note
subway_safety,crime_density,11000.0,5763,0.524,0.3748,0.2313,0.0164,
subway_safety,median_household_income,11000.0,5614,0.51,0.6487,0.2312,-0.0552,
libraries,libraries,11000.0,5820,0.529,0.5644,0.0799,0.0047,
schools,schools,11000.0,4720,0.429,0.5167,0.1388,-0.029,
parks_plazas,crime_density,11000.0,6969,0.634,0.4854,0.0715,0.0212,
parks_plazas,median_household_income,11000.0,6937,0.631,0.6183,0.0714,0.0047,
parks_plazas,pip_acceptable_rate,11000.0,6968,0.633,0.6015,0.0713,-0.0008,
restaurants,restaurants,11000.0,8085,0.735,0.5597,0.1174,-0.0093,
road_quality,crime_density,11000.0,9613,0.874,0.5281,0.0582,0.0083,
road_quality,dot_pavement_rating,11000.0,9217,0.838,0.5061,0.0579,-0.0342,
road_quality,median_household_income,11000.0,9033,0.821,0.5428,0.0576,-0.0616,
road_quality,pothole_repairs,11000.0,9543,0.868,0.509,0.0582,0.0238,
street_photography,,,0,,,,,no proxy export; this case has no outside measurement
