block,word,weight,count,rank,also_in
Subway safety,entrance,264.22178,42216,1,
Subway safety,people,174.31903,17088,2,
Subway safety,subway,158.06539,23901,3,
Subway safety,open,137.26779,10526,4,
Subway safety,busy,121.16588,9793,5,
Subway safety,don,118.53109,8192,6,
Subway safety,traffic,115.21953,8048,7,
Subway safety,structure,111.91369,9938,8,Libraries
Subway safety,station,107.83468,7520,9,
Subway safety,elevated,98.50474,5430,10,
Subway safety,nearby,95.62008,5159,11,
Subway safety,walking,95.15834,5531,12,
Subway safety,lit,94.6096,9278,13,
Subway safety,wide,80.6151,6157,14,Street photography
Subway safety,pedestrians,80.34942,3626,15,
Subway safety,clear,79.88459,14381,16,
Subway safety,corner,75.03408,4095,17,
Subway safety,pedestrian,74.60526,3191,18,
Subway safety,heavy,69.58171,3732,19,
Subway safety,daylight,66.97201,2558,20,
Subway safety,standing,62.62183,2213,21,
Subway safety,person,61.33641,2813,22,
Subway safety,safety,60.94133,2355,23,
Subway safety,stairs,60.44894,2055,24,
Subway safety,level,60.27984,3134,25,
Subway safety,tracks,59.35924,1976,26,
Subway safety,activity,59.32281,2581,27,Street photography
Subway safety,active,58.58765,2225,28,
Subway safety,daytime,58.34063,2704,29,
Subway safety,visibility,55.93612,6048,30,
Subway safety,construction,55.61111,9279,31,Parks and plazas;Schools
Subway safety,enclosed,54.91366,1824,32,
Subway safety,track,54.89279,1798,33,
Subway safety,overhead,53.8203,2480,34,Street photography
Subway safety,intersection,53.64618,2459,35,
Subway safety,railing,52.97568,1571,36,
Subway safety,lots,52.6771,3374,37,Street photography
Subway safety,bus,52.23912,3818,38,Schools
Subway safety,integrated,50.1219,1453,39,
Subway safety,crowded,49.70053,1417,40,
Subway safety,close,48.85616,1409,41,
Subway safety,kiosk,47.90061,1286,42,
Subway safety,safe,46.73794,4004,43,
Subway safety,barriers,46.51884,2352,44,
Subway safety,tucked,45.3418,1201,45,
Subway safety,crossing,45.02697,1219,46,
Subway safety,entrances,43.81555,1236,47,
Subway safety,secluded,43.71381,1314,48,
Subway safety,perceived,42.88533,1076,49,
Subway safety,fewer,42.71627,1186,50,
Subway safety,day,42.26785,1595,51,
Subway safety,lot,41.18544,6967,52,
Subway safety,marked,40.9946,1128,53,
Subway safety,train,40.65821,1590,54,
Subway safety,immediate,39.72644,1446,55,
Subway safety,security,39.6139,937,56,
Subway safety,environment,39.56566,2211,57,
Subway safety,moving,38.84416,1397,58,Street photography
Subway safety,vehicles,38.793,1240,59,
Subway safety,potentially,38.75544,1527,60,
Subway safety,police,38.71425,844,61,
Subway safety,darker,38.48083,1125,62,Road quality
Subway safety,located,38.39124,982,63,
Subway safety,high,38.06399,4305,64,Schools
Subway safety,bollards,38.01452,827,65,
Subway safety,chaotic,37.6057,798,66,
Subway safety,sitting,36.27679,1033,67,
Subway safety,isolated,36.0778,1360,68,
Subway safety,staircase,35.98817,1095,69,
Subway safety,truck,35.16046,3432,70,Restaurants
Subway safety,booth,35.14259,797,71,
Subway safety,shadowed,34.50586,690,72,
Subway safety,metal,34.38445,2466,73,
Subway safety,safer,34.34585,2746,74,
Subway safety,presence,34.33616,757,75,
Subway safety,railings,34.05947,662,76,
Subway safety,shaded,33.80997,662,77,
Subway safety,away,33.30462,698,78,
Subway safety,foot,32.7713,1099,79,
Subway safety,stopped,32.73874,661,80,
Subway safety,cramped,32.22772,776,81,
Subway safety,congested,31.23931,616,82,
Subway safety,zone,30.64391,1123,83,
Subway safety,newsstand,30.52061,534,84,
Subway safety,bikes,29.8646,867,85,
Subway safety,platform,29.48227,488,86,
Subway safety,shelter,29.47459,492,87,
Subway safety,hub,29.4281,512,88,
Subway safety,areas,29.42075,1240,89,Parks and plazas
Subway safety,lamp,28.9811,543,90,
Subway safety,waiting,28.87615,471,91,
Subway safety,prompt,28.81153,922,92,Restaurants
Subway safety,steel,28.72507,576,93,
Subway safety,bank,28.37546,671,94,
Subway safety,bike,28.15287,2448,95,
Subway safety,accessible,27.97451,565,96,
Subway safety,stop,27.9148,1233,97,
Subway safety,narrower,27.88908,780,98,
Subway safety,populated,27.79767,734,99,
Subway safety,vicinity,27.78012,437,100,
Subway safety,plenty,27.56147,455,101,
Subway safety,shadowy,27.26789,496,102,
Subway safety,considered,27.24782,723,103,
Subway safety,crowd,27.0954,430,104,
Subway safety,physical,26.95816,428,105,
Subway safety,seen,26.88411,615,106,
Subway safety,exposed,26.36965,415,107,
Subway safety,machinery,26.36297,395,108,
Subway safety,directly,26.324,408,109,
Subway safety,cart,26.21244,435,110,
Subway safety,barrier,26.16868,1024,111,
Subway safety,broad,25.92457,383,112,
Subway safety,surrounded,25.8389,691,113,
Subway safety,dim,25.62784,368,114,
Subway safety,lack,25.06476,481,115,
