block,word,weight,count,rank,also_in
dimension,building,168.52227,137265,1,
dimension,brick,162.12543,59274,2,
dimension,clean,156.84548,64899,3,
dimension,large,146.19722,50368,4,
dimension,trees,141.07616,47140,5,
dimension,sidewalk,138.08091,61759,6,
dimension,cars,131.63261,38967,7,
dimension,windows,123.04905,34317,8,
dimension,asphalt,115.83745,30445,9,
dimension,road,110.60851,39078,10,
dimension,parked,109.34707,34094,11,
dimension,fence,107.40611,27275,12,
dimension,surface,107.06408,30034,13,
dimension,area,105.99357,69457,14,
dimension,visible,105.76163,44868,15,
dimension,looks,105.59738,185206,16,verdict
dimension,shows,97.5873,37098,17,
dimension,white,95.35779,20617,18,
dimension,relatively,94.90442,20334,19,
dimension,somewhat,93.83944,22792,20,
dimension,lot,91.95509,25899,21,
dimension,foreground,91.68766,20022,22,
dimension,cracks,90.42508,24746,23,
dimension,street,89.6613,123118,24,weighing
dimension,facade,89.5991,20101,25,
dimension,smooth,87.53732,17326,26,
dimension,modern,86.88728,43153,27,
dimension,structure,85.94562,19792,28,
dimension,lane,85.41331,16487,29,
dimension,bit,81.08514,48793,30,hedge
dimension,red,81.0365,15699,31,
dimension,markings,80.35717,15191,32,
dimension,car,76.91817,14227,33,
dimension,older,76.25051,22028,34,
dimension,glass,74.22668,13242,35,
dimension,multi,74.08059,12879,36,
dimension,crosswalk,73.89528,12350,37,
dimension,debris,73.02658,13607,38,
dimension,pavement,70.76528,12796,39,
dimension,lines,69.10284,10900,40,
dimension,patches,68.4941,11751,41,
dimension,blue,67.42995,10288,42,
dimension,ground,66.92315,14090,43,
dimension,story,66.83931,10737,44,
dimension,wide,66.5005,13601,45,
dimension,worn,66.0883,14466,46,
dimension,stone,64.13569,9315,47,
dimension,sign,62.54417,28415,48,
dimension,tree,62.27802,11335,49,
dimension,black,61.53013,8561,50,
dimension,green,59.59662,14050,51,
dimension,bike,59.45529,8467,52,
dimension,walking,58.51231,8851,53,
dimension,bus,57.73295,10148,54,
dimension,truck,57.62217,11535,55,
dimension,appears,57.58343,8591,56,
dimension,industrial,56.84119,11795,57,
dimension,scaffolding,56.82727,11515,58,
dimension,metal,56.54267,7594,59,
dimension,trash,56.16561,11763,60,
dimension,busy,56.09687,17143,61,weighing
dimension,concrete,55.86418,7062,62,
dimension,lots,55.68196,8432,63,
dimension,bushes,55.44307,6950,64,
dimension,orange,54.96506,6874,65,
dimension,houses,54.91586,7892,66,
dimension,bright,53.87096,7393,67,
dimension,near,53.57161,13147,68,
dimension,yellow,53.54833,6862,69,
dimension,intact,52.79909,6304,70,
dimension,storefront,52.72882,9352,71,
dimension,residential,52.66673,19664,72,
dimension,wear,52.5962,15634,73,
dimension,elevated,52.45215,7469,74,
dimension,wall,52.42109,8634,75,
