cuisine,units_gemma-4-12b,score_gemma-4-12b,units_qwen3.5-9b,score_qwen3.5-9b,units,pooled,band,rank
French,191.0,0.2325,130.0,0.0713,130.0,0.1519,top,1
Turkish,50.0,0.1843,35.0,0.1082,35.0,0.1463,top,2
Steakhouse,66.0,0.1986,41.0,0.0938,41.0,0.1462,top,3
Irish,139.0,0.2293,99.0,0.0525,99.0,0.1409,top,4
Bagels/Pretzels,135.0,0.1417,103.0,0.129,103.0,0.1353,top,5
Thai,192.0,0.0505,120.0,-0.003,120.0,0.0238,middle,22
Korean,220.0,0.0523,130.0,-0.0192,130.0,0.0166,middle,23
Peruvian,73.0,-0.0017,46.0,0.021,46.0,0.0097,middle,24
Asian/Asian Fusion,229.0,-0.0167,138.0,0.0107,138.0,-0.003,middle,25
Mexican,713.0,-0.0484,436.0,0.0394,436.0,-0.0045,middle,26
"Juice, Smoothies, Fruit Salads",287.0,-0.1368,137.0,-0.0367,137.0,-0.0867,bottom,44
Caribbean,557.0,-0.1954,283.0,0.0058,283.0,-0.0948,bottom,45
Bottled Beverages,68.0,-0.2071,31.0,-0.015,31.0,-0.1111,bottom,46
Fusion,59.0,-0.1193,29.0,-0.1231,29.0,-0.1212,bottom,47
Donuts,344.0,-0.3622,147.0,-0.0122,147.0,-0.1872,bottom,48
