cuisine,units_gemma-4-12b,score_gemma-4-12b,units_qwen3.5-9b,score_qwen3.5-9b,units,pooled
French,191.0,0.2325,130.0,0.0713,130.0,0.1519
Turkish,50.0,0.1843,35.0,0.1082,35.0,0.1463
Steakhouse,66.0,0.1986,41.0,0.0938,41.0,0.1462
Irish,139.0,0.2293,99.0,0.0525,99.0,0.1409
Bagels/Pretzels,135.0,0.1417,103.0,0.129,103.0,0.1353
Italian,640.0,0.1948,434.0,0.044,434.0,0.1194
Sandwiches/Salads/Mixed Buffet,64.0,0.0843,40.0,0.1301,40.0,0.1072
Mediterranean,189.0,0.1779,125.0,0.0282,125.0,0.103
Indian,192.0,0.1089,116.0,0.0736,116.0,0.0912
Middle Eastern,163.0,0.0376,103.0,0.1171,103.0,0.0773
New American,119.0,0.0955,65.0,0.0347,65.0,0.0651
Bangladeshi,48.0,0.1038,29.0,0.0262,29.0,0.065
Barbecue,35.0,0.0539,23.0,0.073,23.0,0.0634
Southeast Asian,68.0,0.079,44.0,0.044,44.0,0.0615
Greek,100.0,0.1017,66.0,0.021,66.0,0.0614
Tapas,28.0,0.0271,20.0,0.0616,20.0,0.0444
Vegan,40.0,0.16,23.0,-0.0788,23.0,0.0406
Japanese,566.0,0.0742,347.0,0.0062,347.0,0.0402
Bakery Products/Desserts,541.0,0.02,304.0,0.0563,304.0,0.0382
Eastern European,79.0,-0.0096,48.0,0.0841,48.0,0.0372
Pizza,1072.0,0.0094,654.0,0.056,654.0,0.0327
Thai,192.0,0.0505,120.0,-0.003,120.0,0.0238
Korean,220.0,0.0523,130.0,-0.0192,130.0,0.0166
Peruvian,73.0,-0.0017,46.0,0.021,46.0,0.0097
Asian/Asian Fusion,229.0,-0.0167,138.0,0.0107,138.0,-0.003
Mexican,713.0,-0.0484,436.0,0.0394,436.0,-0.0045
Coffee/Tea,1203.0,-0.001,644.0,-0.0144,644.0,-0.0077
Tex-Mex,194.0,-0.0181,119.0,-0.0058,119.0,-0.0119
Frozen Desserts,190.0,-0.0637,110.0,0.039,110.0,-0.0124
American,2697.0,-0.0595,1481.0,0.0205,1481.0,-0.0195
Chinese,1388.0,-0.0542,761.0,0.0149,761.0,-0.0196
Seafood,144.0,-0.0357,86.0,-0.0055,86.0,-0.0206
African,65.0,-0.0833,38.0,0.0273,38.0,-0.028
Salads,39.0,-0.0067,23.0,-0.0535,23.0,-0.0301
Chicken,425.0,-0.0971,249.0,0.0043,249.0,-0.0464
Hamburgers,321.0,-0.0841,232.0,-0.0099,232.0,-0.047
Soul Food,51.0,-0.0841,27.0,-0.0183,27.0,-0.0512
Sandwiches,267.0,-0.134,148.0,0.0295,148.0,-0.0522
Latin American,742.0,-0.13,398.0,0.0203,398.0,-0.0549
Spanish,353.0,-0.0997,195.0,-0.0121,195.0,-0.0559
Jewish/Kosher,226.0,-0.1407,118.0,0.0233,118.0,-0.0587
Vegetarian,39.0,-0.0712,24.0,-0.0499,24.0,-0.0605
Other,250.0,-0.1381,123.0,0.01,123.0,-0.064
"Juice, Smoothies, Fruit Salads",287.0,-0.1368,137.0,-0.0367,137.0,-0.0867
Caribbean,557.0,-0.1954,283.0,0.0058,283.0,-0.0948
Bottled Beverages,68.0,-0.2071,31.0,-0.015,31.0,-0.1111
Fusion,59.0,-0.1193,29.0,-0.1231,29.0,-0.1212
Donuts,344.0,-0.3622,147.0,-0.0122,147.0,-0.1872
