cue,n_mentions,n,wins,undecided_share,win_rate,shrunk_rate,ci_low,ci_high,base_rate
asphalt looks relatively smooth and well-maintained,531,506,504,0.047,0.996,0.9797,0.9857,0.9989,0.6489
very smooth,351,315,315,0.103,1.0,0.9742,0.988,1.0,0.6489
relatively smooth and well-maintained,335,317,315,0.054,0.9937,0.9685,0.9773,0.9983,0.6489
smooth and well-maintained,176,168,168,0.045,1.0,0.9545,0.9776,1.0,0.6489
clear lane markings,584,539,516,0.077,0.9573,0.9437,0.9368,0.9714,0.6489
very clean,143,122,122,0.147,1.0,0.9403,0.9695,1.0,0.6489
clear white lane markings,154,147,145,0.045,0.9864,0.9373,0.9518,0.9963,0.6489
asphalt surface looks relatively smooth and well-maintained,135,126,125,0.067,0.9921,0.9353,0.9564,0.9986,0.6489
well-maintained,486,403,384,0.171,0.9529,0.9351,0.9275,0.9696,0.6489
pavement looks relatively smooth and well-maintained,128,124,123,0.031,0.9919,0.9344,0.9557,0.9986,0.6489
quite smooth,177,138,136,0.22,0.9855,0.9339,0.9487,0.996,0.6489
smooth asphalt,132,121,120,0.083,0.9917,0.933,0.9547,0.9985,0.6489
asphalt looks fairly uniform,136,113,112,0.169,0.9912,0.9292,0.9516,0.9984,0.6489
"smooth asphalt, clear markings",99,94,94,0.051,1.0,0.9262,0.9607,1.0,0.6489
smoother,112,104,103,0.071,0.9904,0.9242,0.9475,0.9983,0.6489
asphalt appears relatively smooth and well-maintained,86,84,84,0.023,1.0,0.9195,0.9563,1.0,0.6489
minor wear,388,332,311,0.144,0.9367,0.9166,0.9052,0.9583,0.6489
asphalt looks relatively smooth,914,794,734,0.131,0.9244,0.916,0.9039,0.9408,0.6489
road surface looks relatively smooth,229,197,186,0.14,0.9442,0.9109,0.9028,0.9685,0.6489
fairly smooth,183,133,126,0.273,0.9474,0.9001,0.8953,0.9743,0.6489
no obvious potholes or major cracks,79,69,68,0.127,0.9855,0.896,0.9224,0.9974,0.6489
relatively smooth,1135,918,828,0.191,0.902,0.8953,0.881,0.9196,0.6489
clear markings,202,182,169,0.099,0.9286,0.8948,0.8816,0.9578,0.6489
minor signs of wear,59,57,57,0.034,1.0,0.893,0.9369,1.0,0.6489
smoother and more uniform,57,56,56,0.018,1.0,0.8916,0.9358,1.0,0.6489
very well-maintained,65,56,56,0.138,1.0,0.8916,0.9358,1.0,0.6489
asphalt appears relatively smooth,240,208,191,0.133,0.9183,0.8894,0.873,0.9483,0.6489
pavement looks relatively smooth,451,383,346,0.151,0.9034,0.8878,0.8697,0.9291,0.6489
asphalt looks very smooth and well-maintained,55,52,52,0.055,1.0,0.886,0.9312,1.0,0.6489
asphalt looks relatively smooth and uniform,53,50,50,0.057,1.0,0.883,0.9286,1.0,0.6489
asphalt looks smoother and more uniform,48,48,48,0.0,1.0,0.8798,0.9259,1.0,0.6489
very clean and smooth,61,56,55,0.082,0.9821,0.8793,0.9055,0.9968,0.6489
very smooth and well-maintained,55,46,46,0.164,1.0,0.8764,0.9229,1.0,0.6489
smoother and newer,47,46,46,0.021,1.0,0.8764,0.9229,1.0,0.6489
smooth,105,86,81,0.181,0.9419,0.8759,0.871,0.9749,0.6489
road surface appears relatively smooth,64,52,51,0.188,0.9808,0.873,0.8988,0.9966,0.6489
much smoother,44,44,44,0.0,1.0,0.8728,0.9197,1.0,0.6489
very uniform,52,44,44,0.154,1.0,0.8728,0.9197,1.0,0.6489
asphalt looks relatively smooth and intact,46,43,43,0.065,1.0,0.8709,0.918,1.0,0.6489
clear white lines,56,43,43,0.232,1.0,0.8709,0.918,1.0,0.6489
fairly uniform,77,58,56,0.247,0.9655,0.8702,0.8827,0.9905,0.6489
surface looks relatively smooth,103,81,76,0.214,0.9383,0.87,0.8635,0.9733,0.6489
asphalt surface looks relatively smooth,119,104,96,0.126,0.9231,0.8699,0.8555,0.9605,0.6489
asphalt looks quite smooth,55,42,42,0.236,1.0,0.869,0.9162,1.0,0.6489
very smooth asphalt,44,41,41,0.068,1.0,0.867,0.9143,1.0,0.6489
minor marks,42,41,41,0.024,1.0,0.867,0.9143,1.0,0.6489
mostly smooth,95,78,73,0.179,0.9359,0.8662,0.8586,0.9723,0.6489
asphalt looks smoother,43,39,39,0.093,1.0,0.8629,0.9103,1.0,0.6489
smoother and better maintained,40,39,39,0.025,1.0,0.8629,0.9103,1.0,0.6489
asphalt seems relatively smooth,79,74,69,0.063,0.9324,0.8608,0.8514,0.9708,0.6489
no major potholes or cracks are visible,40,38,38,0.05,1.0,0.8607,0.9082,1.0,0.6489
pavement appears relatively smooth,65,59,56,0.092,0.9492,0.8598,0.8608,0.9826,0.6489
road looks very smooth,42,37,37,0.119,1.0,0.8584,0.9059,1.0,0.6489
lane markings are clear,120,106,96,0.117,0.9057,0.8567,0.835,0.9479,0.6489
road surface is very smooth,41,36,36,0.122,1.0,0.8561,0.9036,1.0,0.6489
road surface looks relatively smooth and well-maintained,42,36,36,0.143,1.0,0.8561,0.9036,1.0,0.6489
"smooth asphalt, clear lines",36,35,35,0.028,1.0,0.8537,0.9011,1.0,0.6489
asphalt looks quite uniform,40,34,34,0.15,1.0,0.8512,0.8985,1.0,0.6489
minor imperfections,66,60,56,0.091,0.9333,0.8497,0.8407,0.9738,0.6489
asphalt looks very smooth,44,40,39,0.091,0.975,0.8496,0.8712,0.9956,0.6489
road surface looks quite smooth,53,45,43,0.151,0.9556,0.846,0.8517,0.9877,0.6489
image b looks very smooth,32,32,32,0.0,1.0,0.846,0.8928,1.0,0.6489
very smooth surface,35,32,32,0.086,1.0,0.846,0.8928,1.0,0.6489
minor cracks,101,88,79,0.129,0.8977,0.8427,0.8169,0.9453,0.6489
smooth surface,38,37,36,0.026,0.973,0.8423,0.8618,0.9952,0.6489
asphalt is very smooth,31,30,30,0.032,1.0,0.8404,0.8865,1.0,0.6489
relatively smooth asphalt,31,30,30,0.032,1.0,0.8404,0.8865,1.0,0.6489
asphalt surface looks relatively smooth and uniform,31,30,30,0.032,1.0,0.8404,0.8865,1.0,0.6489
no major potholes or cracks are immediately obvious,37,29,29,0.216,1.0,0.8375,0.883,1.0,0.6489
road surface looks very smooth,39,29,29,0.256,1.0,0.8375,0.883,1.0,0.6489
more uniform,34,29,29,0.147,1.0,0.8375,0.883,1.0,0.6489
road surface looks fairly uniform,40,35,34,0.125,0.9714,0.8371,0.8547,0.9949,0.6489
asphalt surface appears relatively smooth,66,59,54,0.106,0.9153,0.836,0.8165,0.9633,0.6489
looks very smooth,37,28,28,0.243,1.0,0.8344,0.8794,1.0,0.6489
asphalt surface appears relatively smooth and well-maintained,28,28,28,0.0,1.0,0.8344,0.8794,1.0,0.6489
asphalt looks fairly smooth,100,75,67,0.25,0.8933,0.8322,0.8034,0.945,0.6489
no obvious large potholes or major cracks,44,39,37,0.114,0.9487,0.8316,0.8311,0.9858,0.6489
clear white markings,38,33,32,0.132,0.9697,0.8314,0.8468,0.9946,0.6489
asphalt looks very uniform,31,27,27,0.129,1.0,0.8312,0.8754,1.0,0.6489
very clean and well-maintained,37,27,27,0.27,1.0,0.8312,0.8754,1.0,0.6489
