cue,n_mentions,n,wins,undecided_share,win_rate,shrunk_rate,ci_low,ci_high,base_rate
clean sidewalk,183,151,150,0.175,0.9934,0.9362,0.9634,0.9988,0.5911
clean facade,100,88,88,0.12,1.0,0.9095,0.9582,1.0,0.5911
clean and well-maintained,237,178,168,0.249,0.9438,0.9004,0.8997,0.9692,0.5911
modern-looking school building,149,125,117,0.161,0.936,0.8785,0.8788,0.9672,0.5911
clean,195,156,141,0.2,0.9038,0.8607,0.8474,0.9409,0.5911
cleaner,83,66,63,0.205,0.9545,0.8547,0.8747,0.9844,0.5911
large windows,951,674,582,0.291,0.8635,0.8538,0.8355,0.8874,0.5911
street is clean,72,62,59,0.139,0.9516,0.848,0.8671,0.9834,0.5911
clear entrance,94,74,69,0.213,0.9324,0.8462,0.8514,0.9708,0.5911
clear signage,56,47,46,0.161,0.9787,0.8441,0.8889,0.9962,0.5911
well-maintained,1457,972,826,0.333,0.8498,0.8433,0.826,0.8709,0.5911
modern-looking brick building,208,167,146,0.197,0.8743,0.8374,0.8154,0.9163,0.5911
relatively clean and well-maintained,66,50,48,0.242,0.96,0.837,0.8654,0.989,0.5911
large glass windows,84,68,63,0.19,0.9265,0.8363,0.8391,0.9682,0.5911
clear sidewalk,58,51,48,0.121,0.9412,0.826,0.8408,0.9798,0.5911
modern-looking brick building with large windows,100,84,75,0.16,0.8929,0.8237,0.8088,0.9426,0.5911
modern building with large glass windows,39,32,32,0.179,1.0,0.8207,0.8928,1.0,0.5911
clean street,45,37,36,0.178,0.973,0.819,0.8618,0.9952,0.5911
clean exterior,36,31,31,0.139,1.0,0.8175,0.8897,1.0,0.5911
modern-looking building,212,175,148,0.175,0.8457,0.8139,0.7848,0.8917,0.5911
modern-looking building with large windows,95,77,68,0.189,0.8831,0.8115,0.7925,0.9373,0.5911
landscaping,46,34,33,0.261,0.9706,0.8098,0.8508,0.9948,0.5911
modern-looking building with large glass windows,44,37,35,0.159,0.9459,0.8029,0.823,0.985,0.5911
"large, modern-looking brick building",56,45,40,0.196,0.8889,0.7825,0.765,0.9516,0.5911
many large windows,86,63,54,0.267,0.8571,0.7816,0.7503,0.923,0.5911
modern architecture,41,39,35,0.049,0.8974,0.7778,0.7642,0.9594,0.5911
mature trees,59,42,37,0.288,0.881,0.7728,0.75,0.9481,0.5911
relatively well-maintained,53,33,30,0.377,0.9091,0.772,0.7643,0.9686,0.5911
relatively clean,50,36,32,0.28,0.8889,0.7669,0.7468,0.9559,0.5911
sidewalk is clean,151,107,86,0.291,0.8037,0.7635,0.7185,0.8679,0.5911
very clean,50,30,27,0.4,0.9,0.7596,0.7438,0.9654,0.5911
greenery,212,150,117,0.292,0.78,0.753,0.7072,0.8388,0.5911
modern-looking brick and glass building,31,27,24,0.129,0.8889,0.7457,0.7194,0.9615,0.5911
green trees,35,30,26,0.143,0.8667,0.7414,0.7032,0.9469,0.5911
"large, multi-story brick building with many windows",91,60,47,0.341,0.7833,0.7268,0.6638,0.8688,0.5911
signage,40,32,26,0.2,0.8125,0.7154,0.6469,0.9111,0.5911
"large, multi-story brick building",230,158,116,0.313,0.7342,0.7146,0.6603,0.7969,0.5911
gated entrance,145,98,73,0.324,0.7449,0.7136,0.6505,0.8208,0.5911
large arched windows,60,42,33,0.3,0.7857,0.7131,0.6406,0.8829,0.5911
"modern, multi-story brick building",31,27,22,0.129,0.8148,0.7073,0.633,0.9182,0.5911
bike rack,49,32,25,0.347,0.7812,0.6979,0.6124,0.8898,0.5911
large trees,66,45,34,0.318,0.7556,0.6968,0.6133,0.8576,0.5911
cars parked nearby,63,45,34,0.286,0.7556,0.6968,0.6133,0.8576,0.5911
sidewalk,453,302,213,0.333,0.7053,0.6966,0.6516,0.7539,0.5911
american flag,65,44,33,0.323,0.75,0.6924,0.6056,0.8543,0.5911
brick building with large windows,218,128,90,0.413,0.7031,0.6848,0.619,0.7754,0.5911
multi-story brick building with large windows,43,26,20,0.395,0.7692,0.6819,0.5795,0.8897,0.5911
bike lane,90,56,40,0.378,0.7143,0.6763,0.5852,0.8158,0.5911
trees in front,206,150,103,0.272,0.6867,0.673,0.6086,0.7555,0.5911
trees,1229,793,535,0.355,0.6747,0.6721,0.6413,0.7064,0.5911
modern building,49,36,26,0.265,0.7222,0.6685,0.5601,0.8415,0.5911
some greenery,67,50,35,0.254,0.7,0.6637,0.5625,0.809,0.5911
mural,49,29,21,0.408,0.7241,0.6626,0.5428,0.853,0.5911
red brick building with large windows,52,29,21,0.442,0.7241,0.6626,0.5428,0.853,0.5911
tree in front,139,93,63,0.331,0.6774,0.6591,0.577,0.7638,0.5911
greenery (trees),48,34,24,0.292,0.7059,0.6573,0.5383,0.8317,0.5911
urban setting,55,39,27,0.291,0.6923,0.6528,0.5358,0.8143,0.5911
arched windows,50,39,27,0.22,0.6923,0.6528,0.5358,0.8143,0.5911
cars parked,156,109,72,0.301,0.6606,0.6476,0.5675,0.7426,0.5911
large brick building with many windows,184,96,63,0.478,0.6562,0.6428,0.5569,0.7436,0.5911
trees in front of the building,45,29,19,0.356,0.6552,0.6255,0.4734,0.8006,0.5911
modern brick building,61,42,27,0.311,0.6429,0.6236,0.4917,0.7701,0.5911
yellow school bus parked in front,33,26,17,0.212,0.6538,0.6231,0.4622,0.8059,0.5911
crosswalk,177,105,66,0.407,0.6286,0.6214,0.5331,0.7149,0.5911
school building,45,31,20,0.311,0.6452,0.621,0.4695,0.7888,0.5911
lot of greenery (trees),45,31,20,0.311,0.6452,0.621,0.4695,0.7888,0.5911
sign,62,37,23,0.403,0.6216,0.6093,0.461,0.7594,0.5911
brick school building,167,103,63,0.383,0.6117,0.6076,0.5151,0.7001,0.5911
large brick building,346,210,127,0.393,0.6048,0.6033,0.5373,0.6684,0.5911
parked cars,415,287,173,0.308,0.6028,0.6019,0.5452,0.6577,0.5911
some trees,146,96,58,0.342,0.6042,0.6015,0.5041,0.6962,0.5911
sidewalk is clear,43,25,15,0.419,0.6,0.5956,0.4074,0.766,0.5911
windows,40,25,15,0.375,0.6,0.5956,0.4074,0.766,0.5911
bus stop,47,37,22,0.213,0.5946,0.5932,0.4349,0.7365,0.5911
fire hydrant,85,59,35,0.306,0.5932,0.5926,0.4659,0.7091,0.5911
multi-story brick building with many windows,72,39,23,0.458,0.5897,0.5903,0.4342,0.7292,0.5911
street with parked cars,110,77,45,0.3,0.5844,0.5861,0.4729,0.6879,0.5911
black metal fence,160,84,49,0.475,0.5833,0.5851,0.4765,0.6829,0.5911
"""school zone"" sign",59,38,22,0.356,0.5789,0.5838,0.4219,0.7215,0.5911
lot of windows,70,38,22,0.457,0.5789,0.5838,0.4219,0.7215,0.5911
red door,74,50,29,0.324,0.58,0.5837,0.4423,0.7063,0.5911
surrounded by trees,66,50,29,0.242,0.58,0.5837,0.4423,0.7063,0.5911
parking area,45,33,19,0.267,0.5758,0.5824,0.4081,0.7276,0.5911
red brick building with many windows,64,35,20,0.453,0.5714,0.5796,0.4086,0.7202,0.5911
playground area,54,30,17,0.444,0.5667,0.5778,0.392,0.7262,0.5911
cars are parked in front,63,37,21,0.413,0.5676,0.5771,0.4091,0.7133,0.5911
white suv parked in front,69,46,26,0.333,0.5652,0.5743,0.4225,0.6979,0.5911
lots of trees,75,53,30,0.293,0.566,0.5741,0.4327,0.6905,0.5911
tree,329,201,114,0.389,0.5672,0.5698,0.498,0.6338,0.5911
white suv,118,66,37,0.441,0.5606,0.569,0.4408,0.6737,0.5911
many windows,366,228,129,0.377,0.5658,0.5683,0.5009,0.6285,0.5911
playground,45,33,18,0.267,0.5455,0.5651,0.3799,0.7016,0.5911
"large, multi-story building",38,26,14,0.316,0.5385,0.5643,0.3546,0.7124,0.5911
large tree,369,216,121,0.415,0.5602,0.5634,0.4935,0.6248,0.5911
brick facade,85,53,29,0.376,0.5472,0.5613,0.4145,0.6734,0.5911
cars parked in front,748,545,300,0.271,0.5505,0.5522,0.5085,0.5917,0.5911
yellow school bus,467,287,157,0.385,0.547,0.5506,0.4892,0.6036,0.5911
gate,46,31,16,0.326,0.5161,0.5496,0.3484,0.6803,0.5911
"""one way"" sign",53,31,16,0.415,0.5161,0.5496,0.3484,0.6803,0.5911
fenced-in area,55,42,22,0.236,0.5238,0.5489,0.3772,0.6664,0.5911
black car parked in front,60,35,18,0.417,0.5143,0.5463,0.3557,0.6701,0.5911
many trees,95,59,31,0.379,0.5254,0.545,0.4004,0.6473,0.5911
cars,115,70,37,0.391,0.5286,0.545,0.4132,0.641,0.5911
tree in the foreground,77,48,25,0.377,0.5208,0.5449,0.3833,0.6553,0.5911
red brick school building,58,37,19,0.362,0.5135,0.5448,0.3589,0.6655,0.5911
multi-story building,50,28,14,0.44,0.5,0.543,0.3263,0.6737,0.5911
air conditioning units,136,76,40,0.441,0.5263,0.5424,0.4155,0.6346,0.5911
cars are parked on the street,50,34,17,0.32,0.5,0.5386,0.3407,0.6593,0.5911
gated area,59,36,18,0.39,0.5,0.5373,0.3447,0.6553,0.5911
large tree in the foreground,37,25,12,0.324,0.48,0.5356,0.3003,0.665,0.5911
red car,54,27,13,0.5,0.4815,0.5342,0.3074,0.6601,0.5911
typical urban school building,50,27,13,0.46,0.4815,0.5342,0.3074,0.6601,0.5911
cars parked along the street,50,31,15,0.38,0.4839,0.5318,0.3197,0.6516,0.5911
white car parked in front,55,31,15,0.436,0.4839,0.5318,0.3197,0.6516,0.5911
fence,924,609,322,0.341,0.5287,0.5312,0.489,0.5681,0.5911
"""school"" sign",72,54,27,0.25,0.5,0.5288,0.3711,0.6289,0.5911
blue fence,127,74,37,0.417,0.5,0.523,0.3889,0.6111,0.5911
cars parked on the street,254,159,81,0.374,0.5094,0.5205,0.4324,0.586,0.5911
parking lot,58,40,19,0.31,0.475,0.5197,0.3294,0.625,0.5911
car,60,44,21,0.267,0.4773,0.5185,0.3375,0.6206,0.5911
black suv parked in front,91,56,27,0.385,0.4821,0.5158,0.3567,0.6099,0.5911
green fence,40,27,12,0.325,0.4444,0.515,0.2759,0.6269,0.5911
street,72,41,19,0.431,0.4634,0.5118,0.3206,0.6125,0.5911
black iron fence,43,26,11,0.395,0.4231,0.5055,0.2554,0.6105,0.5911
large tree in front,49,30,13,0.388,0.4333,0.5051,0.2738,0.608,0.5911
car in the foreground,45,32,14,0.289,0.4375,0.5049,0.2817,0.6067,0.5911
black fence,265,155,76,0.415,0.4903,0.5043,0.4128,0.5683,0.5911
car parked in front,179,114,55,0.363,0.4825,0.502,0.3928,0.5733,0.5911
blue door,103,55,25,0.466,0.4545,0.4972,0.3303,0.5848,0.5911
small tree,76,51,23,0.329,0.451,0.4971,0.3227,0.5862,0.5911
several cars parked in front,77,49,22,0.364,0.449,0.497,0.3185,0.5869,0.5911
red brick,57,31,13,0.456,0.4194,0.496,0.2642,0.5923,0.5911
brick buildings,39,29,12,0.256,0.4138,0.4959,0.2551,0.5926,0.5911
blue car,45,29,12,0.356,0.4138,0.4959,0.2551,0.5926,0.5911
multi-story brick building,286,189,91,0.339,0.4815,0.4943,0.4113,0.5524,0.5911
black car,117,70,32,0.402,0.4571,0.4924,0.3457,0.573,0.5911
cars parked in front of it,61,48,21,0.213,0.4375,0.4901,0.307,0.5773,0.5911
street with cars,68,42,18,0.382,0.4286,0.4892,0.2912,0.5779,0.5911
black suv,153,87,40,0.431,0.4598,0.4891,0.359,0.564,0.5911
school bus,296,186,87,0.372,0.4677,0.4824,0.3974,0.5394,0.5911
white van parked in front,41,31,12,0.244,0.3871,0.4782,0.2373,0.5618,0.5911
white car,92,50,21,0.457,0.42,0.477,0.2937,0.5577,0.5911
street scene,41,27,10,0.341,0.3704,0.4765,0.2153,0.5577,0.5911
brick,49,25,9,0.49,0.36,0.4756,0.2025,0.5548,0.5911
standard brick school building,65,40,16,0.385,0.4,0.4735,0.2635,0.554,0.5911
white van,105,57,23,0.457,0.4035,0.4607,0.2862,0.533,0.5911
silver suv,44,27,9,0.386,0.3333,0.4573,0.1864,0.5218,0.5911
car is parked in front,38,28,9,0.263,0.3214,0.4486,0.1793,0.5066,0.5911
red brick building,348,201,86,0.422,0.4279,0.4459,0.3614,0.497,0.5911
standard urban school building,73,45,16,0.384,0.3556,0.4397,0.2322,0.5016,0.5911
multi-story building with many windows,42,25,7,0.405,0.28,0.4356,0.1428,0.4758,0.5911
fence in front,92,55,20,0.402,0.3636,0.4347,0.2493,0.4958,0.5911
"many windows, some with air conditioning units",97,61,22,0.371,0.3607,0.4277,0.2517,0.4861,0.5911
standard brick building,37,26,7,0.297,0.2692,0.427,0.137,0.4608,0.5911
brick building,937,614,255,0.345,0.4153,0.4222,0.377,0.4547,0.5911
"""no parking"" sign",167,107,40,0.359,0.3738,0.415,0.288,0.4684,0.5911
traditional brick building,40,29,7,0.275,0.2414,0.4033,0.1222,0.4211,0.5911
brick building with many windows,276,163,61,0.409,0.3742,0.4031,0.3036,0.4506,0.5911
standard public school building,65,44,13,0.323,0.2955,0.4026,0.1816,0.4422,0.5911
metal fence,92,63,18,0.315,0.2857,0.3725,0.189,0.407,0.5911
construction scaffolding,50,34,7,0.32,0.2059,0.3691,0.1035,0.368,0.5911
bare trees,68,49,12,0.279,0.2449,0.3619,0.146,0.3809,0.5911
trash bags on the sidewalk,36,30,5,0.167,0.1667,0.3596,0.0734,0.3356,0.5911
construction fence,102,78,21,0.235,0.2692,0.3474,0.1834,0.3768,0.5911
busy city street,39,33,4,0.154,0.1212,0.3238,0.0482,0.2733,0.5911
fire escapes,36,30,3,0.167,0.1,0.3232,0.0346,0.2562,0.5911
under construction or renovation,32,30,2,0.062,0.0667,0.3051,0.0185,0.2132,0.5911
construction zone,33,30,2,0.091,0.0667,0.3051,0.0185,0.2132,0.5911
utilitarian,33,29,1,0.121,0.0345,0.2922,0.0061,0.1718,0.5911
many small windows,30,26,0,0.133,0.0,0.2898,0.0,0.1287,0.5911
older,56,43,4,0.232,0.093,0.2761,0.0368,0.216,0.5911
graffiti,48,42,2,0.125,0.0476,0.2504,0.0132,0.1579,0.5911
"older, brick building",56,52,3,0.071,0.0577,0.2309,0.0198,0.1564,0.5911
gritty,61,52,1,0.148,0.0192,0.2049,0.0034,0.1012,0.5911
school building under construction or renovation,65,64,3,0.015,0.0469,0.1998,0.0161,0.129,0.5911
building under construction or renovation,66,61,2,0.076,0.0328,0.1951,0.009,0.1119,0.5911
messy,62,60,1,0.032,0.0167,0.1856,0.0029,0.0886,0.5911
chain-link fence,161,126,13,0.217,0.1032,0.184,0.0613,0.1685,0.5911
older brick building,126,111,5,0.119,0.045,0.1454,0.0194,0.1011,0.5911
scaffolding,247,219,16,0.113,0.0731,0.1261,0.0455,0.1154,0.5911
construction site,362,341,17,0.058,0.0499,0.0868,0.0314,0.0784,0.5911
