layer,model,boroct2020,n_images,mean_score,comparisons,median_income
census_tract,qwen3.5-9b,1000201,35,0.1143,47,37353.0
census_tract,qwen3.5-9b,1000202,154,-0.0325,208,36688.0
census_tract,qwen3.5-9b,1000600,115,0.3899,160,36893.0
census_tract,qwen3.5-9b,1000700,134,0.2425,179,190388.0
census_tract,qwen3.5-9b,1000800,216,0.0949,288,31262.0
census_tract,qwen3.5-9b,1000900,134,0.3669,175,
census_tract,qwen3.5-9b,1001001,67,-0.0746,84,140000.0
census_tract,qwen3.5-9b,1001002,87,-0.0144,112,23796.0
census_tract,qwen3.5-9b,1001200,107,0.1713,149,114318.0
census_tract,qwen3.5-9b,1001300,184,0.6798,255,171923.0
census_tract,qwen3.5-9b,1001401,42,0.619,56,103750.0
census_tract,qwen3.5-9b,1001402,107,0.6416,149,90469.0
census_tract,qwen3.5-9b,1001501,234,0.3308,332,125712.0
census_tract,qwen3.5-9b,1001502,111,0.7965,150,204310.0
census_tract,qwen3.5-9b,1001600,171,0.7227,217,35875.0
census_tract,qwen3.5-9b,1001800,230,0.8764,300,76726.0
census_tract,qwen3.5-9b,1002000,72,-0.0556,102,30792.0
census_tract,qwen3.5-9b,1002100,139,0.8988,188,
census_tract,qwen3.5-9b,1002201,52,0.3365,67,39961.0
census_tract,qwen3.5-9b,1002202,32,0.8542,35,151711.0
census_tract,qwen3.5-9b,1002400,88,0.0,117,21092.0
census_tract,qwen3.5-9b,1002500,92,0.1005,124,20597.0
census_tract,qwen3.5-9b,1002601,50,0.6883,72,30350.0
census_tract,qwen3.5-9b,1002602,50,0.515,63,89970.0
census_tract,qwen3.5-9b,1002700,31,0.6505,44,124063.0
census_tract,qwen3.5-9b,1002800,72,0.4375,96,70691.0
census_tract,qwen3.5-9b,1002901,75,0.3267,96,11094.0
census_tract,qwen3.5-9b,1002902,61,0.9399,87,
census_tract,qwen3.5-9b,1003001,60,0.6056,84,88889.0
census_tract,qwen3.5-9b,1003002,45,0.8163,66,74691.0
census_tract,qwen3.5-9b,1003100,111,0.8252,151,189250.0
