unit,n,wins,unit_name,n_images,image_path,image_confidence,image_distance_ft,win_rate,shrunk_rate,base_rate
413_Stair_407075058_n740117912,15,15,Wall St (Stair),5,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ELW/W0ELW31B/faces/R.jpg,0.582,33.0,1.0,0.8261,0.5
40_EasementStreet_406834124_n739765033,11,11,Atlantic Av-Barclays Ctr (Easement - Street),8,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0E3Y/W0E3YGZP/faces/B.jpg,0.362,57.0,1.0,0.7895,0.5
105_EasementStreet_407126990_n740040990,10,10,Brooklyn Bridge-City Hall/Chambers St (Easement - Street),13,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0EGT/W0EGT3DJ/faces/R.jpg,0.306,65.0,1.0,0.7778,0.5
471_StairEscalator_407557660_n740002359,9,9,34 St - Hudson Yards (Stair/Escalator),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ED1/W0ED1GKM/faces/B.jpg,0.429,48.0,1.0,0.7647,0.5
258_Elevator_407097309_n738196621,9,9,Briarwood (Elevator),11,/share/ju/cyclomedia/raw/queens_2025_1k/W0CZO/W0CZO672/faces/L.jpg,0.611,26.0,1.0,0.7647,0.5
233_Stair_407181166_n739882986,9,9,Delancey St-Essex St (Stair),11,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0EPJ/W0EPJLF2/faces/R.jpg,0.512,22.0,1.0,0.7647,0.5
21_EasementStreet_407097799_n740102942,9,9,Chambers St/WTC/Park Place/Cortlandt St (Easement - Street),11,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ELS/W0ELSNKH/faces/B.jpg,0.409,51.0,1.0,0.7647,0.5
401_EasementStreet_407567229_n739725650,17,15,Lexington Av/51-53 Sts (Easement - Street),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0E61/W0E61G7E/faces/F.jpg,0.458,46.0,0.8824,0.76,0.5
414_Stair_407048029_n740144281,8,8,Bowling Green (Stair),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ELX/W0ELX96E/faces/F.jpg,0.535,38.0,1.0,0.75,0.5
469_EasementStreet_407530377_n739780680,12,11,Grand Central-42 St (Easement - Street),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D5K/W0D5KUWC/faces/B.jpg,0.458,46.0,0.9167,0.75,0.5
292_Stair_406871666_n739762873,8,8,Fulton St (Stair),12,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0DBQ/W0DBQL1U/faces/F.jpg,0.553,36.0,1.0,0.75,0.5
174_EasementStreet_406935820_n739870075,8,8,Jay St-MetroTech (Easement - Street),12,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EGR/W0EGRZPL/faces/R.jpg,0.369,57.0,1.0,0.75,0.5
14_Stair_407413694_n739888623,8,8,23 St (Stair),8,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0E60/W0E60BWN/faces/F.jpg,0.605,29.0,1.0,0.75,0.5
281_EasementStreet_407468858_n739435169,8,8,Court Sq-23 St (Easement - Street),10,/share/ju/cyclomedia/raw/queens_2025_1k/W0E4A/W0E4APE0/faces/F.jpg,0.456,46.0,1.0,0.75,0.5
198_Stair_406601692_n738303928,8,8,Howard Beach-JFK Airport (Stair),7,/share/ju/cyclomedia/raw/queens_2025_1k/W0EBW/W0EBW9PP/faces/R.jpg,0.648,21.0,1.0,0.75,0.5
180_Stair_406800207_n739402430,8,8,Kingston-Throop Avs (Stair),8,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0CRB/W0CRBLF9/faces/R.jpg,0.609,27.0,1.0,0.75,0.5
226_Stair_407552322_n739840526,8,8,42 St-Bryant Pk/5 Av (Stair),8,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D5J/W0D5JGHG/faces/L.jpg,0.412,51.0,1.0,0.75,0.5
240_Stair_406655020_n739792962,8,8,7 Av (Stair),9,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EH2/W0EH2RS6/faces/R.jpg,0.627,29.0,1.0,0.75,0.5
359_Stair_406333082_n739478373,8,8,Flatbush Av-Brooklyn College (Stair),14,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0DAZ/W0DAZ21B/faces/L.jpg,0.587,33.0,1.0,0.75,0.5
163_EasementPassage_407563491_n739906315,8,8,Times Sq-42 St/Port Authority Bus Terminal (Easement - Passage),11,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ECI/W0ECIQ8L/faces/L.jpg,0.514,40.0,1.0,0.75,0.5
272_Stair_407519304_n739270977,8,8,36 St (Stair),12,/share/ju/cyclomedia/raw/queens_2025_1k/W0E4A/W0E4ARWB/faces/B.jpg,0.498,31.0,1.0,0.75,0.5
314_Stair_407736414_n739824310,11,10,66 St-Lincoln Center (Stair),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0CTW/W0CTW764/faces/L.jpg,0.599,20.0,0.9091,0.7368,0.5
284_Stair_407237540_n739506330,10,9,Nassau Av (Stair),10,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0D0A/W0D0AWMB/faces/B.jpg,0.609,24.0,0.9,0.7222,0.5
265_Stair_407362920_n738764169,10,9,Grand Av-Newtown (Stair),14,/share/ju/cyclomedia/raw/queens_2025_1k/W0E5N/W0E5NF0M/faces/R.jpg,0.54,37.0,0.9,0.7222,0.5
318_EasementStreet_407510660_n739911404,10,9,34 St-Penn Station (Easement - Street),11,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D5M/W0D5MUYZ/faces/B.jpg,0.431,49.0,0.9,0.7222,0.5
118_Stair_407332929_n739869546,10,9,3 Av (Stair),12,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0DEJ/W0DEJISY/faces/R.jpg,0.531,38.0,0.9,0.7222,0.5
225_EasementStreet_407601466_n739804899,10,9,47-50 Sts-Rockefeller Ctr (Easement - Street),9,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D5J/W0D5JGKV/faces/L.jpg,0.393,53.0,0.9,0.7222,0.5
199_Stair_406080632_n738159820,10,9,Broad Channel (Stair),8,/share/ju/cyclomedia/raw/queens_2025_1k/W0EO5/W0EO5SMC/faces/F.jpg,0.493,42.0,0.9,0.7222,0.5
148_Stair_408407547_n739392446,9,8,168 St-Washington Hts (Stair),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0DAP/W0DAPM9H/faces/B.jpg,0.564,35.0,0.8889,0.7059,0.5
