cue,n_mentions,n,wins,undecided_share,win_rate,shrunk_rate,ci_low,ci_high,base_rate
well-lit,1595,787,763,0.507,0.9695,0.9588,0.955,0.9794,0.6219
clear visibility,344,216,215,0.372,0.9954,0.9566,0.9742,0.9992,0.6219
clear sidewalk,478,240,237,0.498,0.9875,0.953,0.9639,0.9957,0.6219
wide sidewalk,661,322,309,0.513,0.9596,0.9353,0.9322,0.9763,0.6219
well-maintained,257,134,133,0.479,0.9925,0.9343,0.9589,0.9987,0.6219
well-lit (daytime),430,201,193,0.533,0.9602,0.9228,0.9234,0.9797,0.6219
wide sidewalks,127,97,97,0.236,1.0,0.9225,0.9619,1.0,0.6219
clear crosswalk,260,127,123,0.512,0.9685,0.9115,0.9218,0.9877,0.6219
clear signage,201,113,109,0.438,0.9646,0.9025,0.9125,0.9862,0.6219
well-lit (daylight),199,96,92,0.518,0.9583,0.8888,0.8977,0.9837,0.6219
good visibility,141,68,67,0.518,0.9853,0.8876,0.9213,0.9974,0.6219
high visibility,115,80,77,0.304,0.9625,0.8814,0.8955,0.9872,0.6219
bright daylight,150,103,96,0.313,0.932,0.8715,0.8663,0.9667,0.6219
well-lit by daylight,131,90,83,0.313,0.9222,0.8569,0.8481,0.9618,0.6219
very clean,64,41,41,0.359,1.0,0.8568,0.9143,1.0,0.6219
clean,62,46,45,0.258,0.9783,0.8528,0.8866,0.9962,0.6219
visibility is good,198,81,73,0.591,0.9012,0.8353,0.817,0.9491,0.6219
well-lit and open,76,38,37,0.5,0.9737,0.8341,0.865,0.9953,0.6219
clear sightlines,61,38,37,0.377,0.9737,0.8341,0.865,0.9953,0.6219
sidewalk is clear,117,49,46,0.581,0.9388,0.8317,0.8348,0.979,0.6219
clear sidewalk area,70,37,36,0.471,0.973,0.8314,0.8618,0.9952,0.6219
open,50,33,32,0.34,0.9697,0.8198,0.8468,0.9946,0.6219
clear markings,86,37,35,0.57,0.9459,0.8153,0.823,0.985,0.6219
relatively open and well-lit,83,30,29,0.639,0.9667,0.8099,0.8333,0.9941,0.6219
very open,122,56,50,0.541,0.8929,0.8092,0.7853,0.95,0.6219
sidewalk is wide,80,35,33,0.562,0.9429,0.8091,0.8139,0.9842,0.6219
wide sidewalk area,74,29,28,0.608,0.9655,0.8064,0.8282,0.9939,0.6219
clean sidewalk,45,29,28,0.356,0.9655,0.8064,0.8282,0.9939,0.6219
no obvious hazards,68,29,28,0.574,0.9655,0.8064,0.8282,0.9939,0.6219
open space,63,31,29,0.508,0.9355,0.7955,0.7928,0.9821,0.6219
clear crosswalks,56,31,29,0.446,0.9355,0.7955,0.7928,0.9821,0.6219
sidewalk,479,226,184,0.528,0.8142,0.795,0.7583,0.8595,0.6219
trees,280,142,117,0.493,0.8239,0.7937,0.753,0.8778,0.6219
relatively clean,49,29,27,0.408,0.931,0.7879,0.7804,0.9809,0.6219
wide open,44,29,27,0.341,0.931,0.7879,0.7804,0.9809,0.6219
visibility is high,51,27,25,0.471,0.9259,0.7797,0.7663,0.9794,0.6219
bike lane,365,148,119,0.595,0.8041,0.7777,0.7328,0.86,0.6219
relatively open,130,43,37,0.669,0.8605,0.7727,0.7274,0.9344,0.6219
lot of open space,99,41,35,0.586,0.8537,0.7659,0.7156,0.9312,0.6219
many people around,70,28,25,0.6,0.8929,0.765,0.728,0.9629,0.6219
standard city street,76,35,30,0.539,0.8571,0.7591,0.7062,0.9374,0.6219
bollards,88,41,34,0.534,0.8293,0.7507,0.6874,0.9147,0.6219
wide crosswalk,79,36,30,0.544,0.8333,0.7467,0.6811,0.9213,0.6219
lots of people,61,28,24,0.541,0.8571,0.7462,0.6851,0.943,0.6219
greenery,59,27,23,0.542,0.8519,0.7413,0.6752,0.9408,0.6219
street lights,78,32,26,0.59,0.8125,0.7289,0.6469,0.9111,0.6219
shops,78,39,31,0.5,0.7949,0.7273,0.6447,0.8922,0.6219
buildings,162,64,49,0.605,0.7656,0.7252,0.6487,0.8525,0.6219
newsstand/kiosk,80,27,22,0.662,0.8148,0.7221,0.633,0.9182,0.6219
railing,115,37,29,0.678,0.7838,0.7185,0.628,0.8861,0.6219
street light,113,44,34,0.611,0.7727,0.7181,0.6301,0.8716,0.6219
storefronts,84,33,26,0.607,0.7879,0.7163,0.6225,0.8932,0.6219
sidewalk is relatively clear,82,36,28,0.561,0.7778,0.7139,0.6191,0.8828,0.6219
food cart,89,35,27,0.607,0.7714,0.7091,0.6098,0.8793,0.6219
fire hydrant,84,34,26,0.595,0.7647,0.7042,0.6,0.8756,0.6219
large building,63,27,21,0.571,0.7778,0.7028,0.5924,0.8939,0.6219
pedestrians,113,43,32,0.619,0.7442,0.6992,0.5976,0.8507,0.6219
crosswalk,1312,561,390,0.572,0.6952,0.6921,0.6559,0.7318,0.6219
street,122,51,37,0.582,0.7255,0.6914,0.5905,0.8289,0.6219
food truck,105,41,30,0.61,0.7317,0.6901,0.5807,0.8431,0.6219
wide street,82,28,21,0.659,0.75,0.6896,0.5664,0.8732,0.6219
bus lane,111,44,32,0.604,0.7273,0.6891,0.5815,0.8365,0.6219
metal railing,80,31,23,0.612,0.7419,0.6883,0.5675,0.863,0.6219
cars parked and driving,91,37,27,0.593,0.7297,0.6862,0.5702,0.846,0.6219
bus stop,156,72,51,0.538,0.7083,0.686,0.5949,0.8006,0.6219
traffic lights,175,77,53,0.56,0.6883,0.672,0.578,0.7807,0.6219
crosswalks,109,51,35,0.532,0.6863,0.6651,0.5497,0.7967,0.6219
busy urban area,68,32,22,0.529,0.6875,0.6587,0.5143,0.8205,0.6219
subway entrance,231,84,56,0.636,0.6667,0.6564,0.5605,0.7582,0.6219
high-traffic area,78,40,27,0.487,0.675,0.6546,0.5202,0.7992,0.6219
street sign,59,28,19,0.525,0.6786,0.6518,0.4934,0.8207,0.6219
many people,78,47,31,0.397,0.6596,0.6465,0.5167,0.7783,0.6219
cars,517,238,154,0.54,0.6471,0.6447,0.5844,0.705,0.6219
white suv,91,40,26,0.56,0.65,0.6392,0.4951,0.7787,0.6219
high-rise buildings,130,59,38,0.546,0.6441,0.6375,0.5166,0.754,0.6219
busy street corner,145,64,41,0.559,0.6406,0.6354,0.5182,0.7471,0.6219
traffic,86,39,25,0.547,0.641,0.6335,0.4842,0.7726,0.6219
trash can,471,161,102,0.658,0.6335,0.632,0.5568,0.7041,0.6219
busy city street,165,76,48,0.539,0.6316,0.6292,0.5192,0.7312,0.6219
metal fence,57,29,18,0.491,0.6207,0.6212,0.44,0.7731,0.6219
black car,85,29,18,0.659,0.6207,0.6212,0.44,0.7731,0.6219
street corner with a crosswalk,90,29,18,0.678,0.6207,0.6212,0.44,0.7731,0.6219
street lamp,82,34,21,0.585,0.6176,0.6194,0.4504,0.761,0.6219
trash cans,95,34,21,0.642,0.6176,0.6194,0.4504,0.761,0.6219
daytime,64,26,16,0.594,0.6154,0.6186,0.4253,0.7757,0.6219
people walking,70,26,16,0.629,0.6154,0.6186,0.4253,0.7757,0.6219
car in the foreground,66,28,17,0.576,0.6071,0.6141,0.4241,0.7643,0.6219
people,62,33,20,0.468,0.6061,0.6129,0.4368,0.7532,0.6219
bike rack,87,38,23,0.563,0.6053,0.6119,0.4472,0.744,0.6219
cars parked on the street,66,25,15,0.621,0.6,0.6109,0.4074,0.766,0.6219
taxi,53,25,15,0.528,0.6,0.6109,0.4074,0.766,0.6219
cars parked nearby,131,58,35,0.557,0.6034,0.609,0.4749,0.7191,0.6219
street with cars,138,57,34,0.587,0.5965,0.6042,0.467,0.7138,0.6219
mcdonald's,61,29,17,0.525,0.5862,0.6027,0.4074,0.7449,0.6219
"""no standing"" sign",98,34,20,0.653,0.5882,0.6025,0.4222,0.7363,0.6219
brick building,70,34,20,0.514,0.5882,0.6025,0.4222,0.7363,0.6219
traffic light,250,112,66,0.552,0.5893,0.5952,0.4967,0.676,0.6219
cars parked and moving,86,30,17,0.651,0.5667,0.5918,0.392,0.7262,0.6219
pedestrian crosswalk,47,27,15,0.426,0.5556,0.5874,0.3731,0.7241,0.6219
bus,217,87,50,0.599,0.5747,0.5852,0.4698,0.6733,0.6219
cars parked,146,65,37,0.555,0.5692,0.5839,0.4483,0.6824,0.6219
busy street,149,69,39,0.537,0.5652,0.5803,0.4479,0.6757,0.6219
several cars,93,37,20,0.602,0.5405,0.5733,0.3838,0.6896,0.6219
busy urban street,71,27,14,0.62,0.5185,0.5682,0.3399,0.6926,0.6219
